,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
59,465,80,10260.0,4104.0,4104.0,1026.0,1026.0,8,28.8,28.8,7.2,7.2,95.3953423982,2.47245570111,60.529411383500005,73.7530220255,1.05512191739,37.221970662800004,125.013406921
60,38,50,11400.0,4560.0,2280.0,2280.0,2280.0,8,10.5,10.5,10.5,10.5,97.7754956773,3.15125158205,57.44399384689999,74.6613474003,1.06811655794,46.3077214946,118.001844583
61,96,80,11400.0,5700.0,2280.0,1140.0,2280.0,8,18.0,18.0,18.0,18.0,98.0331388478,2.47681439242,65.1153082579,68.0639961758,0.9737338508700001,54.7673748179,114.35065353600001
62,125,100,11400.0,4560.0,4560.0,1140.0,1140.0,8,36.8,36.8,9.2,9.2,101.40562590299999,2.40100853208,67.10146120569999,73.74417969390001,1.05499541765,39.3931004713,131.35122052399998
63,471,80,10260.0,2052.0,2052.0,3078.0,3078.0,8,14.4,14.4,21.6,21.6,101.777942848,2.8555266809400006,64.2851663033,74.93549542630001,1.0720385611799998,52.205650095200006,128.98628342700002
64,487,90,10260.0,3078.0,3078.0,2052.0,2052.0,8,24.6,24.6,16.4,16.4,102.02772317899999,2.70440980782,66.0782980919,74.42064871640001,1.06467308607,44.4456329299,131.018724851
65,423,60,10260.0,2565.0,2565.0,2565.0,2565.0,8,13.0,13.0,13.0,13.0,105.747748712,3.27771215116,63.7589169141,80.0673599788,1.14545579369,47.6219607603,133.026120276
66,133,100,11400.0,3420.0,4560.0,1140.0,2280.0,8,27.6,36.8,9.2,18.4,107.891901761,2.71392224935,69.7029475914,74.9737728218,1.0725861634,46.934636686000005,136.29902892
67,103,90,11400.0,2850.0,2850.0,2850.0,2850.0,8,20.5,20.5,20.5,20.5,108.324033912,3.1100772231000002,67.0332760733,80.474725415,1.1512836253899998,44.2047240398,141.386069088
68,91,80,11400.0,2280.0,2280.0,3420.0,3420.0,8,14.4,14.4,21.6,21.6,108.54726565,3.11983277699,67.2581507899,76.8754059239,1.0997912149299998,50.9904036978,138.69711629
69,47,60,11400.0,3420.0,3420.0,2280.0,2280.0,8,15.6,15.6,10.4,10.4,110.002093907,3.3998974353900002,66.31467455149999,82.6484048067,1.1823806124,43.144109812299995,138.725591588
