,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
0,1059,50,1620.0,162.0,648.0,162.0,648.0,4,4.6,18.4,4.6,18.4,12.0951961871,0.511878518307,6.79037411204,3.2548234535500002,0.046563997904900005,8.8633627705,3.51072012622
1,26,60,1260.0,126.0,504.0,126.0,504.0,4,5.6,22.4,5.6,22.4,12.147981339700001,0.43087765409199996,7.7396553373899994,2.7128260592799998,0.0388101009911,11.6660596912,2.90040151316
2,1765,50,1440.0,144.0,576.0,144.0,576.0,4,11.5,11.5,11.5,11.5,12.1691700496,0.521869266355,6.92927699995,3.2323580514700003,0.046242604456,10.0657362619,3.74363725268
3,2017,50,1440.0,144.0,576.0,144.0,576.0,8,10.5,10.5,10.5,10.5,12.5116429983,0.519301660058,7.205818053230001,3.2309975690400004,0.046223141187899996,10.0596758548,3.77434764954
4,2269,50,1440.0,144.0,576.0,144.0,576.0,12,9.5,9.5,9.5,9.5,12.5842303407,0.521879078311,7.18373587653,3.32432000062,0.047558226046000004,9.46119648533,3.8946730577199995
5,278,60,1260.0,126.0,504.0,126.0,504.0,8,5.2,20.8,5.2,20.8,12.7667523423,0.448416971917,8.26473480578,2.8216572883999995,0.0403670570586,11.6571383997,3.10426521574
6,1311,50,1620.0,162.0,648.0,162.0,648.0,8,4.2,16.8,4.2,16.8,13.124673460999999,0.553803743426,7.56408179499,3.3752767929500003,0.0482872216445,9.808577019560001,3.71327127041
7,4,50,1260.0,252.0,378.0,252.0,378.0,4,9.2,13.8,9.2,13.8,13.1787672765,0.563034138034,7.729566993460001,2.5751622962400003,0.036840662321,9.27576800938,2.66559447086
8,530,60,1260.0,126.0,504.0,126.0,504.0,12,4.8,19.2,4.8,19.2,13.266014665799998,0.462621461871,8.398728120780001,2.87920271817,0.0411903107034,11.703642751099999,3.2267640434599993
9,1767,50,1440.0,288.0,432.0,288.0,432.0,4,11.5,11.5,11.5,11.5,13.2829348421,0.5878540878540001,7.73547346528,3.03201544405,0.0433764727332,7.51425992142,3.3798129963
10,782,60,1260.0,126.0,504.0,126.0,504.0,16,4.4,17.6,4.4,17.6,13.308035406199998,0.461264319014,8.3952061404,2.87666862255,0.041154057547199994,11.690941441700001,3.23048318829
11,14,50,1620.0,162.0,648.0,162.0,648.0,12,3.8,15.2,3.8,15.2,13.403408053900002,0.5512342455520001,7.62371138025,3.2972815388599996,0.0471714097119,9.40754687652,3.91303551644
12,2019,50,1440.0,288.0,432.0,288.0,432.0,8,10.5,10.5,10.5,10.5,13.6694113072,0.603006362325,7.89665171249,3.14250538282,0.0449571585526,7.562652257210001,3.64668445927
13,1764,50,1440.0,360.0,360.0,360.0,360.0,4,11.5,11.5,11.5,11.5,13.6935464104,0.601170183983,7.97462156984,2.93853498692,0.04203912713769999,8.72152707514,3.34766248148
14,11,55,1260.0,315.0,315.0,315.0,315.0,4,12.75,12.75,12.75,12.75,13.741023668699999,0.564276958209,8.30466336302,2.75565764306,0.039422856123800004,10.8041186727,2.93085591473
15,256,50,1260.0,252.0,378.0,252.0,378.0,8,8.4,12.6,8.4,12.6,13.807292145999998,0.593711243711,8.14331917878,2.6439062036900003,0.0378241230857,9.995683369089999,2.93967747435
16,2016,50,1440.0,360.0,360.0,360.0,360.0,8,10.5,10.5,10.5,10.5,13.8172944326,0.59857168397,8.03862339474,3.01159657781,0.043084357336300005,8.82831294861,3.50643144379
17,299,50,1800.0,180.0,720.0,180.0,720.0,4,4.6,18.4,4.6,18.4,13.868520567200001,0.591182741183,7.96419557847,3.6829097651,0.0526882655952,10.3957360615,4.73140570614
18,266,50,1620.0,162.0,648.0,162.0,648.0,16,3.4,13.6,3.4,13.6,13.9073665427,0.5535815866089999,7.9940107239,3.36383093851,0.048123475515099996,9.787063767660001,4.03305681545
19,264,55,1260.0,315.0,315.0,315.0,315.0,8,11.75,11.75,11.75,11.75,14.0205855175,0.548010515337,8.64845567085,2.8716344135000003,0.0410820373891,10.691248604,3.1567161906700005
20,51,50,1440.0,144.0,576.0,144.0,576.0,16,3.4,13.6,3.4,13.6,14.115146722,0.5715143609009999,8.42865505549,3.16176782962,0.0452327300375,10.6750436181,3.71603817916
21,1177,55,1980.0,198.0,792.0,198.0,792.0,4,5.1,20.4,5.1,20.4,14.141904690699999,0.570052593495,8.19977304779,4.62159486011,0.0661172369115,10.7426068371,6.18318521806
22,9,50,1260.0,252.0,252.0,630.0,126.0,4,11.5,11.5,11.5,11.5,14.147291093699998,0.650758533502,7.874617614489999,2.52760373022,0.0361602822635,9.35887021461,2.7495486808
23,1084,60,1620.0,324.0,486.0,324.0,486.0,4,14.0,14.0,14.0,14.0,14.2757103825,0.5625762589419999,8.92999266689,3.9096313621300007,0.05593177914340001,10.3786000513,5.44811773661
24,1034,60,1260.0,126.0,504.0,126.0,504.0,20,4.0,16.0,4.0,16.0,14.4843267616,0.524431318681,9.08858928673,2.99926336658,0.04290791654619999,11.8950864653,3.5123996953800005
25,303,50,1440.0,144.0,576.0,144.0,576.0,20,3.0,12.0,3.0,12.0,14.565728025599999,0.585321013358,8.63250391481,3.2639950757,0.0466952085222,10.4748881678,4.13046512833
26,504,50,1260.0,315.0,315.0,315.0,315.0,12,9.5,9.5,9.5,9.5,14.6309592198,0.619775294775,8.79458307357,2.66480032375,0.0381230375357,9.505486400730002,2.9459180852399998
