cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
115,3240.0,324.0,1296.0,324.0,1296.0,24,10.1111111111,40.4444444444,10.1111111111,40.4444444444,76.6971115241,1.52406563553,62.2657226082,14.8468316698,0.212401025319,63.8448740905,46.6759471273
115,3240.0,648.0,972.0,648.0,972.0,24,25.2777777778,25.2777777778,25.2777777778,25.2777777778,94.180222905,1.96182933532,75.9893685016,19.8798092121,0.284403565267,56.2039454794,60.2240926561
115,3240.0,648.0,972.0,648.0,972.0,24,20.2222222222,30.3333333333,20.2222222222,30.3333333333,94.6951261454,1.89622709502,77.1074015181,18.9442462502,0.271019259659,63.1699649971,59.4477740143
115,3240.0,324.0,324.0,1296.0,1296.0,24,25.2777777778,25.2777777778,25.2777777778,25.2777777778,70.7966643402,1.52749077369,56.1371441602,12.8547959168,0.183902659754,45.6047689312,37.9887610573
115,3240.0,324.0,324.0,1296.0,1296.0,24,10.1111111111,10.1111111111,40.4444444444,40.4444444444,130.99006271,2.18959544463,112.241392389,23.6973452605,0.339017814885,80.3102215083,49.6607776888
115,3240.0,324.0,324.0,324.0,2268.0,24,25.2777777778,25.2777777778,25.2777777778,25.2777777778,47.7704374199,0.988995396138,38.5018617627,9.37439729767,0.134111549323,41.1110685843,23.4910383602
115,3240.0,324.0,324.0,324.0,2268.0,24,10.1111111111,10.1111111111,10.1111111111,70.7777777778,88.8739678859,1.52856505287,75.4090523572,17.903787425,0.256134297926,63.316809099,36.447257839
115,3240.0,648.0,648.0,1620.0,324.0,24,25.2777777778,25.2777777778,25.2777777778,25.2777777778,80.5696749459,1.6730091975,64.8138984631,15.2163893187,0.217687973085,62.8739988484,45.3603426378
115,3240.0,648.0,648.0,1620.0,324.0,24,20.2222222222,20.2222222222,50.5555555556,10.1111111111,91.4791205396,1.78090415436,75.1163966172,17.6090809073,0.251918181793,67.5299624899,47.8953707648
120,3240.0,810.0,810.0,810.0,810.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,96.3477911719,1.9219691235,78.3400334664,18.9459835497,0.27104411373,58.2564690654,59.8347230966
120,3240.0,810.0,810.0,810.0,810.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,98.7246114728,1.7560574769,81.1209059287,18.4902619184,0.264524490964,58.6910983845,58.2166612719
120,3240.0,324.0,1296.0,324.0,1296.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,61.0672237448,1.18874828205,49.8385235026,12.9816889309,0.185718010457,47.4658620617,35.5923784297
120,3240.0,324.0,1296.0,324.0,1296.0,24,10.6666666667,42.6666666667,10.6666666667,42.6666666667,76.9576419791,1.52508894598,62.4997276235,16.525275825,0.236413101931,60.4260757901,46.3549902801
120,3240.0,648.0,972.0,648.0,972.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,86.9211379707,1.68906736194,70.9337845652,17.5306221042,0.250795738258,54.1917422641,55.4348707985
120,3240.0,648.0,972.0,648.0,972.0,24,21.3333333333,32.0,21.3333333333,32.0,85.00416016,1.62567959252,69.9289144842,18.0386147059,0.258063157452,60.0507326044,57.6621524132
120,3240.0,324.0,324.0,1296.0,1296.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,75.7038418763,1.60505638716,61.0418471024,12.6444311976,0.18089315018,49.0830069072,38.723706574
120,3240.0,324.0,324.0,1296.0,1296.0,24,10.6666666667,10.6666666667,42.6666666667,42.6666666667,125.276979106,2.02990433178,107.560526055,21.9666082155,0.314257628262,94.8237377174,50.6311372881
120,3240.0,324.0,324.0,324.0,2268.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,53.3385611314,1.06367452927,43.5586024183,9.34308585262,0.133663603042,42.3997680505,24.9768561471
120,3240.0,324.0,324.0,324.0,2268.0,24,10.6666666667,10.6666666667,10.6666666667,74.6666666667,102.651756027,1.72107310818,87.7105007542,19.7485788488,0.282526163789,61.6941130612,40.6384422039
120,3240.0,648.0,648.0,1620.0,324.0,24,26.6666666667,26.6666666667,26.6666666667,26.6666666667,89.8177778085,1.79455068935,72.9841659071,15.2351803889,0.217956800985,67.0540410561,45.5825607142
120,3240.0,648.0,648.0,1620.0,324.0,24,21.3333333333,21.3333333333,53.3333333333,10.6666666667,98.5406488874,1.76359051429,82.6752679965,17.1929072661,0.245964338571,68.6966544592,47.643964383
125,3240.0,810.0,810.0,810.0,810.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,88.8071434385,1.71084265696,72.0658238343,18.4689106787,0.264219036891,56.9333529833,58.6578097713
125,3240.0,810.0,810.0,810.0,810.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,99.6673089453,1.91666556103,81.3439686614,19.3955564654,0.277475772037,62.1842895009,59.7081231126
125,3240.0,324.0,1296.0,324.0,1296.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,66.8107516462,1.21938116986,55.2956908361,12.8139537559,0.183318365606,44.0126686692,36.6087249414
125,3240.0,324.0,1296.0,324.0,1296.0,24,11.2222222222,44.8888888889,11.2222222222,44.8888888889,71.6075246208,1.38489674544,58.5835409814,15.2617385292,0.218336745769,53.0143599662,44.1431965596
125,3240.0,648.0,972.0,648.0,972.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,84.6317556708,1.6600986544,68.2457207927,18.2114594254,0.260535900221,50.4219630464,56.9844658052
125,3240.0,648.0,972.0,648.0,972.0,24,22.4444444444,33.6666666667,22.4444444444,33.6666666667,99.1617464166,1.79857734909,82.5313125278,18.1326780924,0.259408842524,66.4154610815,59.6713209302
125,3240.0,324.0,324.0,1296.0,1296.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,76.1641683528,1.53139015603,61.4059694132,12.213771025,0.174732060444,47.7101500777,38.9085754173
125,3240.0,324.0,324.0,1296.0,1296.0,24,11.2222222222,11.2222222222,44.8888888889,44.8888888889,135.082806011,2.15441911974,115.764207351,23.3924305467,0.334655658751,86.0640727463,49.6233337007
125,3240.0,324.0,324.0,324.0,2268.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,51.6083415687,0.999243214404,42.5365806904,8.69660996276,0.124415020926,46.8224994213,25.2234479875
125,3240.0,324.0,324.0,324.0,2268.0,24,11.2222222222,11.2222222222,11.2222222222,78.5555555556,95.2406314945,1.53663419627,81.3564928284,18.3963223188,0.263180576807,62.9770245653,39.0208427243
125,3240.0,648.0,648.0,1620.0,324.0,24,28.0555555556,28.0555555556,28.0555555556,28.0555555556,83.8881492386,1.71733677445,67.5867650147,15.0201519711,0.214880571832,61.4673558825,46.483015779
125,3240.0,648.0,648.0,1620.0,324.0,24,22.4444444444,22.4444444444,56.1111111111,11.2222222222,85.6256996575,1.60939231241,69.8394966348,17.4697854299,0.249925399569,59.6936012201,46.9798129789
130,3240.0,810.0,810.0,810.0,810.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,89.5999077965,1.65827678215,72.9179199897,18.6574915834,0.266916903911,57.8850050303,58.9376593567
130,3240.0,810.0,810.0,810.0,810.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,93.4037927655,1.76051645241,75.9890298368,19.3793210375,0.277243505544,57.0880737472,59.6973948856
130,3240.0,324.0,1296.0,324.0,1296.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,61.1989131232,1.13589336886,50.4762222432,12.7066708835,0.181783560565,47.4134031067,34.97941482
130,3240.0,324.0,1296.0,324.0,1296.0,24,11.7777777778,47.1111111111,11.7777777778,47.1111111111,89.2997308174,1.66652234144,73.8436598078,16.2620138593,0.232646836327,73.289282394,48.8116163252
130,3240.0,648.0,972.0,648.0,972.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,102.359145388,1.83608106259,84.702570962,19.0690036214,0.272804057531,65.1388876177,60.2566474931
130,3240.0,648.0,972.0,648.0,972.0,24,23.5555555556,35.3333333333,23.5555555556,35.3333333333,98.9966845228,1.76872654324,82.1105459615,17.9779275241,0.257194957426,67.5913642681,59.2936165057
130,3240.0,324.0,324.0,1296.0,1296.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,74.2135527096,1.40261545231,60.5921563037,12.4834950497,0.178590773244,50.6030224094,38.6775645321
130,3240.0,324.0,324.0,1296.0,1296.0,24,11.7777777778,11.7777777778,47.1111111111,47.1111111111,129.075900266,2.04257947512,110.874410593,22.8760280114,0.327267925771,82.754575464,51.2254014592
130,3240.0,324.0,324.0,324.0,2268.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,49.0098165438,0.959195580842,40.5296718538,9.10459356722,0.130251696241,48.2363425089,24.8483727015
130,3240.0,324.0,324.0,324.0,2268.0,24,11.7777777778,11.7777777778,11.7777777778,82.4444444444,118.190281871,1.88652599216,102.08446201,22.3136930045,0.319223075888,87.8327422249,42.7777216642
130,3240.0,648.0,648.0,1620.0,324.0,24,29.4444444444,29.4444444444,29.4444444444,29.4444444444,86.3661585785,1.70063334362,70.6762079814,16.2256120791,0.232126066939,64.8764446594,46.4771556885
130,3240.0,648.0,648.0,1620.0,324.0,24,23.5555555556,23.5555555556,58.8888888889,11.7777777778,99.0712211786,1.72111640212,82.8764881697,17.7875313113,0.254471120333,76.1479484822,47.7856266546
135,3240.0,810.0,810.0,810.0,810.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,99.7354423163,1.8333667417,82.5639289674,19.2657442992,0.275618659503,69.4691374102,60.7834187112
135,3240.0,810.0,810.0,810.0,810.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,92.5600779132,1.70532742862,75.1772473173,18.8220477558,0.269271069467,59.8258410386,59.5703841472
135,3240.0,324.0,1296.0,324.0,1296.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,60.4589406848,1.13215135678,49.1079656529,12.7148506539,0.1819005816,49.7126530457,35.7117109853
135,3240.0,324.0,1296.0,324.0,1296.0,24,12.3333333333,49.3333333333,12.3333333333,49.3333333333,89.0410104638,1.56463387079,73.9847306274,17.5126914654,0.25053921982,67.7710669939,48.167459451
135,3240.0,648.0,972.0,648.0,972.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,99.9709396132,1.78542318427,82.4613482156,19.0229630195,0.272145393698,66.6610680464,59.2619517402
135,3240.0,648.0,972.0,648.0,972.0,24,24.6666666667,37.0,24.6666666667,37.0,100.358903663,1.77716199188,82.7058721483,18.9744090879,0.271450773789,64.0764134426,59.4186954689
135,3240.0,324.0,324.0,1296.0,1296.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,84.144877593,1.79802104792,67.3882553628,14.0868900675,0.201529185515,63.7948947311,40.2615963853
135,3240.0,324.0,324.0,1296.0,1296.0,24,12.3333333333,12.3333333333,49.3333333333,49.3333333333,119.754300062,1.79828102412,103.672756037,21.0835587354,0.30162458849,82.6141819286,50.8892532461
135,3240.0,324.0,324.0,324.0,2268.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,56.9917239613,1.07791658745,47.2948013437,9.41125330106,0.134638816896,52.3227970891,25.2152140661
135,3240.0,324.0,324.0,324.0,2268.0,24,12.3333333333,12.3333333333,12.3333333333,86.3333333333,104.419363952,1.57406820333,90.6899672557,19.8384113045,0.283811320522,67.6634104468,41.1361901585
135,3240.0,648.0,648.0,1620.0,324.0,24,30.8333333333,30.8333333333,30.8333333333,30.8333333333,81.2223622821,1.43763282788,66.9090080556,15.0922309574,0.215911744741,66.4598804443,44.8871529081
135,3240.0,648.0,648.0,1620.0,324.0,24,24.6666666667,24.6666666667,61.6666666667,12.3333333333,91.8097613606,1.54639095227,76.7558607684,16.8536369195,0.241110685544,66.5288204895,47.5815514434
140,3240.0,810.0,810.0,810.0,810.0,24,32.2222222222,32.2222222222,32.2222222222,32.2222222222,94.1743003204,1.73773312557,76.7807364715,19.7917214306,0.283143368106,58.0936309052,61.0948358
140,3240.0,810.0,810.0,810.0,810.0,24,32.2222222222,32.2222222222,32.2222222222,32.2222222222,97.7525864329,1.85292104757,79.8588306812,18.8664311649,0.269906025249,62.11492258,59.3701409756
140,3240.0,324.0,1296.0,324.0,1296.0,24,32.2222222222,32.2222222222,32.2222222222,32.2222222222,59.9981549484,1.07304891767,49.4504026467,12.2668303658,0.175491135419,51.8310949086,36.518785922
140,3240.0,324.0,1296.0,324.0,1296.0,24,12.8888888889,51.5555555556,12.8888888889,51.5555555556,85.7604018191,1.48472053803,72.4627533917,17.6945486567,0.253140896377,70.4149613217,48.8955759525
140,3240.0,648.0,972.0,648.0,972.0,24,32.2222222222,32.2222222222,32.2222222222,32.2222222222,100.89938052,1.77058211722,83.9297856326,20.1237140926,0.287892905474,67.1398018129,59.6641928633
