cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
130,3800.0,1140.0,2280.0,380.0,8,40.26,40.26,40.26,22.233016857,0.464073081499,17.5021298543,12.7759917807,0.182775275833,22.7538167227,24.7085648416
130,3800.0,1140.0,2280.0,380.0,8,36.6,73.2,12.2,16.5912819639,0.362910920661,12.8489013819,10.6921374965,0.152963340437,21.2484225389,16.9784269377
140,3800.0,380.0,1140.0,2280.0,8,43.56,43.56,43.56,94.4546299565,1.83805259413,72.2839265976,26.7983255814,0.383380909605,95.2981184688,67.8743280895
140,3800.0,380.0,1140.0,2280.0,8,13.2,39.6,79.2,46.8814264166,1.11441764943,31.5051897095,18.2190118169,0.260643945879,38.5891500771,45.1713754352
140,3800.0,2280.0,1140.0,380.0,8,43.56,43.56,43.56,29.273876956,0.612998294218,22.1298134488,14.6501789826,0.209587682155,27.7553148946,29.4253172266
140,3800.0,2280.0,1140.0,380.0,8,79.2,39.6,13.2,20.301280883,0.389519158985,16.1580810243,10.9652008083,0.156869825583,26.4802839282,19.315502819
140,3800.0,1900.0,1520.0,380.0,8,43.56,43.56,43.56,27.9435132418,0.56830264949,21.6693001906,14.1914164079,0.203024555191,27.0056758154,29.0874950687
140,3800.0,1900.0,1520.0,380.0,8,66.0,52.8,13.2,19.0726032265,0.388961367803,14.9191692456,11.3697393233,0.162657214926,24.7151578647,20.0500524043
140,3800.0,1330.0,1330.0,1140.0,8,43.56,43.56,43.56,43.2688332277,0.95145194506,32.3888597221,16.787367649,0.24016262731,40.5891056897,40.3021524057
140,3800.0,1330.0,1330.0,1140.0,8,46.2,46.2,39.6,51.8946197194,1.19286699853,38.4222185924,20.2079094765,0.289097417403,58.5874406251,49.1957102297
140,3800.0,3040.0,380.0,380.0,8,43.56,43.56,43.56,69.1176597508,1.22772339125,52.1213233323,24.7408161397,0.353945867521,61.9272269501,54.6204923026
140,3800.0,3040.0,380.0,380.0,8,105.6,13.2,13.2,17.3678535894,0.351076157537,12.4608694663,9.31245046351,0.13322532852,24.9366042012,14.6782686531
140,3800.0,760.0,1520.0,1520.0,8,43.56,43.56,43.56,46.4625423932,0.965725222074,34.7649235205,18.7384469414,0.268075063539,42.2952385699,44.6988590873
140,3800.0,760.0,1520.0,1520.0,8,26.4,52.8,52.8,40.2432505,0.989417536383,29.0161281478,17.0084954488,0.243326115148,38.6216266161,39.5164021436
140,3800.0,1520.0,1520.0,760.0,8,43.56,43.56,43.56,26.4213157253,0.571751103085,19.9081262251,13.4088687593,0.191829309861,24.4966469707,27.8057197627
140,3800.0,1520.0,1520.0,760.0,8,52.8,52.8,26.4,30.5541350156,0.653545766628,23.391819308,14.7020351988,0.210329545048,32.8972596874,31.1233516451
140,3800.0,1140.0,2280.0,380.0,8,43.56,43.56,43.56,24.1820930006,0.481565884944,19.2627827282,13.2021401717,0.188871819338,24.5782374983,26.2862941387
140,3800.0,1140.0,2280.0,380.0,8,39.6,79.2,13.2,18.3218741732,0.383449986142,14.4352182054,10.9522383715,0.156684382997,23.0176524141,18.4159595966
150,3800.0,380.0,1140.0,2280.0,8,46.86,46.86,46.86,92.398438054,1.68544835356,72.9662926312,25.5460736285,0.365466003269,98.8943333148,67.7630768581
150,3800.0,380.0,1140.0,2280.0,8,14.2,42.6,85.2,47.7592739244,1.11454586905,32.1456905927,17.8739956597,0.255708092413,40.3525274741,44.9350332375
150,3800.0,2280.0,1140.0,380.0,8,46.86,46.86,46.86,44.3732594811,0.833240736312,34.4299392731,19.7604526307,0.282696031913,45.598370581,41.8714920481
150,3800.0,2280.0,1140.0,380.0,8,85.2,42.6,14.2,17.3125877884,0.359678236401,13.2047356204,10.8699160588,0.155506667508,23.862238357,18.5834061096
150,3800.0,1900.0,1520.0,380.0,8,46.86,46.86,46.86,28.6094083462,0.55784407256,22.4768297116,14.6391751373,0.209430259476,27.206338775,30.1037278629
150,3800.0,1900.0,1520.0,380.0,8,71.0,56.8,14.2,20.6496566243,0.411282315033,16.3120387526,11.6685412035,0.166931919935,26.1772202445,21.0596902994
150,3800.0,1330.0,1330.0,1140.0,8,46.86,46.86,46.86,47.670805655,0.990780012502,35.963189124,17.8434846796,0.255271597705,43.0282407925,44.6656405862
150,3800.0,1330.0,1330.0,1140.0,8,49.7,49.7,42.6,48.1234276444,1.06425156516,36.5589061363,18.1479839844,0.259627810936,48.0749126968,43.7931013616
150,3800.0,3040.0,380.0,380.0,8,46.86,46.86,46.86,45.3760410837,0.879871124972,33.6223405306,20.2582906814,0.28981817856,44.6094426801,43.4942761323
150,3800.0,3040.0,380.0,380.0,8,113.6,14.2,14.2,14.8840156575,0.260667298156,11.5281672255,8.15068576764,0.116604946604,23.2747142705,10.9337087881
150,3800.0,760.0,1520.0,1520.0,8,46.86,46.86,46.86,64.2682703768,1.38683686437,48.7928042539,22.1989826004,0.31758201145,67.3483107703,54.7900228008
150,3800.0,760.0,1520.0,1520.0,8,28.4,56.8,56.8,40.650866863,0.901170429863,29.9430698289,16.8790084974,0.241473655185,39.5401944054,40.3872689101
150,3800.0,1520.0,1520.0,760.0,8,46.86,46.86,46.86,26.4071250362,0.572817204112,20.109847403,13.3527596589,0.191026604562,25.6140530116,27.9526077645
150,3800.0,1520.0,1520.0,760.0,8,56.8,56.8,28.4,25.3256546046,0.530469706738,19.3870458684,13.1783555406,0.188531552799,27.8160588545,27.4844383632
150,3800.0,1140.0,2280.0,380.0,8,46.86,46.86,46.86,25.4507129313,0.460066587709,20.6283545754,13.495143145,0.193063564306,27.6382656728,28.1522464616
150,3800.0,1140.0,2280.0,380.0,8,42.6,85.2,14.2,20.3434561728,0.395623046136,16.3627407623,11.2569890008,0.161044191714,26.8603906981,20.3854998398
