cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
60,6840.0,1710.0,1710.0,1710.0,1710.0,8,17.16,17.16,17.16,94.3531117787,3.01727346872,57.4846752968,43.2950710289,0.61938585163,36.2594696144,98.5244035462
60,6840.0,1710.0,1710.0,1710.0,1710.0,8,15.6,26.0,10.4,88.4341562048,2.65958306301,55.9211094827,40.6119631415,0.581000903311,58.0290641358,89.0655166617
60,6840.0,684.0,2736.0,684.0,2736.0,8,17.16,17.16,17.16,80.9771623866,2.63714309605,49.3479552087,33.0204799945,0.472395994199,55.4311692672,71.9701125098
60,6840.0,684.0,2736.0,684.0,2736.0,8,24.96,10.4,16.64,79.0846993514,2.84862961734,43.2378853547,34.2464653395,0.48993512646,34.1767256484,74.0496707149
60,6840.0,1368.0,2052.0,1368.0,2052.0,8,17.16,17.16,17.16,100.708564842,3.1858816615,61.9928612078,44.326099022,0.634135894449,36.3500506694,101.374046461
60,6840.0,1368.0,2052.0,1368.0,2052.0,8,18.72,20.8,12.48,85.8505729132,2.66186859821,53.6021563935,38.0775291871,0.544742906825,51.8156487676,83.2763364537
60,6840.0,684.0,1368.0,684.0,4104.0,8,17.16,17.16,17.16,49.2256589376,1.63880974199,29.1884315553,22.3926292126,0.320352349251,35.2613896235,44.4820551103
60,6840.0,684.0,1368.0,684.0,4104.0,8,24.96,10.4,16.64,52.3381281734,1.8105395776,30.3853440401,23.0603204716,0.329904441654,24.7527494797,45.6436272056
70,6840.0,1710.0,1710.0,1710.0,1710.0,8,20.46,20.46,20.46,99.2099090526,2.82123398611,63.6598368474,41.5811367179,0.594866047467,41.1809409573,98.0851077269
70,6840.0,1710.0,1710.0,1710.0,1710.0,8,18.6,31.0,12.4,96.0723829704,2.51391374592,64.951258111,38.7345389393,0.554142187973,65.0418358619,91.3039182152
70,6840.0,684.0,2736.0,684.0,2736.0,8,20.46,20.46,20.46,87.5664042803,2.64872572212,56.552570093,32.1175134401,0.45947801774,57.6993015586,72.5563262023
70,6840.0,684.0,2736.0,684.0,2736.0,8,29.76,12.4,19.84,86.0807787741,2.82792126576,51.1693830211,33.7685982415,0.483098687289,38.8359356709,74.7368022325
70,6840.0,1368.0,2052.0,1368.0,2052.0,8,20.46,20.46,20.46,109.000337685,3.01177534791,71.5222482463,41.6268034419,0.595519362544,38.2822427053,101.955423106
70,6840.0,1368.0,2052.0,1368.0,2052.0,8,22.32,24.8,14.88,95.6668900118,2.6554799727,62.8505104913,39.5087919178,0.565218768494,47.8455874009,92.9437273788
70,6840.0,684.0,1368.0,684.0,4104.0,8,20.46,20.46,20.46,53.302702672,1.64900426577,33.9565771445,22.1562509262,0.316970685639,35.8104028386,46.0360410672
70,6840.0,684.0,1368.0,684.0,4104.0,8,29.76,12.4,19.84,53.3991687073,1.78370667231,31.3359511858,23.1265024659,0.330851251301,24.2963212485,47.6080518923
80,6840.0,1710.0,1710.0,1710.0,1710.0,8,23.76,23.76,23.76,105.277552982,2.76304840147,69.7099115725,41.1277014139,0.588379133246,40.62350142,100.025941272
80,6840.0,1710.0,1710.0,1710.0,1710.0,8,21.6,36.0,14.4,93.5410048385,2.37833321868,64.0693707385,38.277097059,0.547597955064,61.7062562418,91.5661870027
80,6840.0,684.0,2736.0,684.0,2736.0,8,23.76,23.76,23.76,89.6917632652,2.56786976812,59.1380354443,32.1451740515,0.459873734642,56.833678792,72.7759189475
80,6840.0,684.0,2736.0,684.0,2736.0,8,34.56,14.4,23.04,91.7927490299,2.7076158305,58.4240770122,33.3135580435,0.476588813212,39.3137467457,75.9758183234
80,6840.0,1368.0,2052.0,1368.0,2052.0,8,23.76,23.76,23.76,111.404476791,2.94104867011,74.5451984628,41.5642005599,0.594623756222,41.9049952355,101.451289909
80,6840.0,1368.0,2052.0,1368.0,2052.0,8,25.92,28.8,17.28,92.2426894228,2.46354086344,61.7711516709,36.4785503325,0.521867672854,52.8072334685,86.7726528502
80,6840.0,684.0,1368.0,684.0,4104.0,8,23.76,23.76,23.76,55.0953456494,1.57640904863,35.9232766402,22.6037739938,0.32337301851,36.8242004895,48.3968979751
80,6840.0,684.0,1368.0,684.0,4104.0,8,34.56,14.4,23.04,55.4251762762,1.69089526194,34.1271445558,22.9634186122,0.328518148958,26.2548965208,49.0975398809
90,6840.0,1710.0,1710.0,1710.0,1710.0,8,27.06,27.06,27.06,107.545919221,2.67058717576,73.7212905621,40.7964173659,0.583639733418,42.5095537723,100.339247299
