cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
130,2160.0,216.0,864.0,216.0,864.0,16,19.0,76.0,19.0,76.0,80.3189183805,1.14714018352,69.7235984489,13.8561341739,0.198227956709,77.8784521591,37.6963359747
130,2160.0,432.0,648.0,432.0,648.0,16,47.5,47.5,47.5,47.5,62.115285501,0.954569082878,52.8295367486,13.3821666846,0.191447305931,57.3927207513,40.4847885979
130,2160.0,432.0,648.0,432.0,648.0,16,38.0,57.0,38.0,57.0,66.2525442007,0.991696867044,56.5264847909,13.7379956817,0.196537849523,62.0335192224,40.7349948955
130,2160.0,216.0,216.0,864.0,864.0,16,47.5,47.5,47.5,47.5,84.1459877462,1.37515123765,71.4987448527,12.9787495485,0.185675959206,73.8942662486,38.9109339981
130,2160.0,216.0,216.0,864.0,864.0,16,19.0,19.0,76.0,76.0,128.639079173,1.46412736702,115.461095627,21.8888632871,0.313145397526,88.9889322265,43.8847977223
130,2160.0,216.0,216.0,216.0,1512.0,16,47.5,47.5,47.5,47.5,58.1142064092,0.907500942413,49.7101174439,8.1690362368,0.116867471199,62.7129480216,24.4068455482
130,2160.0,216.0,216.0,216.0,1512.0,16,19.0,19.0,19.0,133.0,96.7794051032,1.1009725179,86.8679816969,17.0496514759,0.243914899512,82.3294370385,31.0032884263
130,2160.0,432.0,432.0,1080.0,216.0,16,47.5,47.5,47.5,47.5,65.2823768662,1.00965508299,55.7268462612,12.4462822258,0.178058400942,66.0989756249,34.8880479054
130,2160.0,432.0,432.0,1080.0,216.0,16,38.0,38.0,95.0,19.0,88.7186639113,1.23885074002,77.1509646385,14.7378610591,0.210842075238,79.3741778403,38.458838654
135,2160.0,540.0,540.0,540.0,540.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,58.2193162223,0.905978218066,49.1088325539,15.5991780236,0.223164206346,58.5941040519,44.9737867658
135,2160.0,540.0,540.0,540.0,540.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,84.0938920344,1.27530659428,71.9070912298,18.2731532134,0.261418500906,69.460786711,51.2934103319
135,2160.0,216.0,864.0,216.0,864.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,64.9546640463,0.92692857175,56.1450319449,12.5264631825,0.179205481868,63.3503394402,33.6654660522
135,2160.0,216.0,864.0,216.0,864.0,16,19.8333333333,79.3333333333,19.8333333333,79.3333333333,82.9547377259,1.10883433145,73.2952706409,15.8021103966,0.226067387647,80.4618150789,39.1980647759
135,2160.0,432.0,648.0,432.0,648.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,73.8743623156,1.0586962329,63.5649406619,15.9572041874,0.228286182939,60.0086329252,43.4755438724
135,2160.0,432.0,648.0,432.0,648.0,16,39.6666666667,59.5,39.6666666667,59.5,72.0372870121,1.08325741451,61.4796430062,14.8512320778,0.212463978223,62.6270382156,42.9329952905
135,2160.0,216.0,216.0,864.0,864.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,80.9113651663,1.21968037171,68.8139643543,11.8654738782,0.169749268644,70.8529963812,38.4762526272
135,2160.0,216.0,216.0,864.0,864.0,16,19.8333333333,19.8333333333,79.3333333333,79.3333333333,150.262535689,1.63365091472,135.433262301,22.0981935975,0.316140108691,99.3914960509,44.769045502
135,2160.0,216.0,216.0,216.0,1512.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,56.2664924149,0.835884621309,48.1128769583,9.0891655129,0.130030980156,59.1376119777,24.2260464269
135,2160.0,216.0,216.0,216.0,1512.0,16,19.8333333333,19.8333333333,19.8333333333,138.833333333,116.623247768,1.35486316769,104.899435284,18.5277757958,0.265061170183,115.514690594,32.2109889821
135,2160.0,432.0,432.0,1080.0,216.0,16,49.5833333333,49.5833333333,49.5833333333,49.5833333333,68.0584999282,1.06074368189,58.1779554555,13.5622844275,0.194024097675,66.5924364643,36.0529665347
135,2160.0,432.0,432.0,1080.0,216.0,16,39.6666666667,39.6666666667,99.1666666667,19.8333333333,76.2565135702,1.02028700135,66.2220277245,14.1990724763,0.203134084067,70.8621769448,39.7225961363
140,2160.0,540.0,540.0,540.0,540.0,16,51.6666666667,51.6666666667,51.6666666667,51.6666666667,83.8431988935,1.26775595906,71.8782072638,17.2393841093,0.246629243338,67.8013719416,52.9198752593
140,2160.0,540.0,540.0,540.0,540.0,16,51.6666666667,51.6666666667,51.6666666667,51.6666666667,77.1147938383,1.08415801121,66.3677296467,16.3843133659,0.234396471615,65.3728953604,47.894634334
