cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
40,3040.0,760.0,760.0,760.0,760.0,8,10.56,10.56,10.56,11.9152435576,0.547145166433,6.05626686004,6.15369360451,0.0880356738842,5.06538075275,6.21773945117
40,3040.0,760.0,760.0,760.0,760.0,8,11.2,16.0,4.8,23.2047837135,0.829381826255,15.1277734832,8.50981011817,0.121742634023,28.5940442559,16.1919828984
40,3040.0,304.0,1216.0,304.0,1216.0,8,10.56,10.56,10.56,14.4630019263,0.655008440593,7.60030962439,6.99132042382,0.100018890183,6.97165356824,8.98297381966
40,3040.0,304.0,1216.0,304.0,1216.0,8,17.92,6.4,7.68,24.3431189371,0.931956875082,14.6759517193,9.12403242895,0.130529791544,22.1603639712,17.7504501599
40,3040.0,608.0,912.0,608.0,912.0,8,10.56,10.56,10.56,12.176233878,0.561235897563,6.23768169998,6.2992696417,0.0901183067482,5.15630866968,6.6526802295
40,3040.0,608.0,912.0,608.0,912.0,8,13.44,12.8,5.76,25.7421060979,0.926074800717,16.5245365508,9.36325669617,0.133952170188,28.6249650959,18.3796137462
40,3040.0,304.0,608.0,304.0,1824.0,8,10.56,10.56,10.56,59.4020345858,2.46239907496,32.5104237584,18.1020615801,0.258970838055,40.6022058186,35.2534886313
40,3040.0,304.0,608.0,304.0,1824.0,8,17.92,6.4,7.68,59.6682396333,2.07422394984,36.6565643954,15.5312629119,0.222192602459,47.8909653303,31.7391439422
50,3040.0,760.0,760.0,760.0,760.0,8,13.86,13.86,13.86,13.2820141065,0.546407104075,7.52669479422,6.53469517564,0.0934863401378,6.85042326544,7.6217105296
50,3040.0,760.0,760.0,760.0,760.0,8,14.7,21.0,6.3,18.2779552151,0.631923652068,11.8934274075,7.49652167226,0.107246375855,20.672890654,13.3686966984
50,3040.0,304.0,1216.0,304.0,1216.0,8,13.86,13.86,13.86,15.3703231107,0.612083654536,8.75679486545,7.19752692975,0.102968911728,8.70819821706,10.4791694773
50,3040.0,304.0,1216.0,304.0,1216.0,8,23.52,8.4,10.08,18.921921992,0.699774644644,11.6531862441,7.49984552923,0.107293927457,16.931126731,12.9344910525
50,3040.0,608.0,912.0,608.0,912.0,8,13.86,13.86,13.86,13.3230676422,0.55502765813,7.41918173476,6.56992333473,0.0939903195241,6.81987606927,8.17702330256
50,3040.0,608.0,912.0,608.0,912.0,8,17.64,16.8,7.56,24.0347018442,0.794124150028,15.8974995005,9.05614089543,0.12955852497,27.3351765766,17.3126938683
50,3040.0,304.0,608.0,304.0,1824.0,8,13.86,13.86,13.86,56.1050963103,2.0931452412,33.5536415174,16.2838748596,0.232959583112,45.8132497308,32.0791210312
50,3040.0,304.0,608.0,304.0,1824.0,8,23.52,8.4,10.08,60.6577724154,2.09216275023,36.9816771557,15.5643506726,0.222665960981,46.2166336436,32.3902934136
60,3040.0,760.0,760.0,760.0,760.0,8,17.16,17.16,17.16,16.8813084943,0.602054775436,10.900718166,6.95192494997,0.0994552925604,7.68995736528,10.1054512173
60,3040.0,760.0,760.0,760.0,760.0,8,18.2,26.0,7.8,21.7990747589,0.645988296042,15.0992857235,8.59354557631,0.122940566185,26.9028433094,16.8080995287
60,3040.0,304.0,1216.0,304.0,1216.0,8,17.16,17.16,17.16,19.0563078631,0.672392176915,12.2067153908,7.57157542171,0.108320106176,9.95879964689,12.1592480218
60,3040.0,304.0,1216.0,304.0,1216.0,8,29.12,10.4,12.48,21.152091326,0.708599115817,13.6930403201,8.30461609487,0.118807097208,18.063520229,16.1437965556
60,3040.0,608.0,912.0,608.0,912.0,8,17.16,17.16,17.16,17.1630061513,0.620065452408,10.9978716867,7.00508833298,0.10021585598,7.49543332011,10.1378861303
60,3040.0,608.0,912.0,608.0,912.0,8,21.84,20.8,9.36,21.4497704778,0.66528172346,14.5238227306,8.37368910833,0.119795266214,25.1528684968,15.6012126833
60,3040.0,304.0,608.0,304.0,1824.0,8,17.16,17.16,17.16,59.9189659729,2.02569229083,36.7367563762,16.6089825359,0.237610622831,38.346752988,35.2206219026
60,3040.0,304.0,608.0,304.0,1824.0,8,29.12,10.4,12.48,65.4576523818,2.00546147946,42.9122096119,15.4986581098,0.221726153217,52.7831344267,33.7986969416
70,3040.0,760.0,760.0,760.0,760.0,8,20.46,20.46,20.46,15.4520949284,0.507547297696,10.136425053,7.3538037982,0.105204632306,11.3811915596,11.4229786889
70,3040.0,760.0,760.0,760.0,760.0,8,21.7,31.0,9.3,17.0433616153,0.513223621236,11.6493067774,7.46504784338,0.106796106486,17.6315443886,13.7355164669
70,3040.0,304.0,1216.0,304.0,1216.0,8,20.46,20.46,20.46,17.8878624537,0.58380612687,11.3731288615,7.97669114012,0.114115753077,12.8766884011,13.9451384136
70,3040.0,304.0,1216.0,304.0,1216.0,8,34.72,12.4,14.88,23.8034249529,0.700688783813,15.8786544974,8.83344373964,0.126372585689,22.0375648769,18.2326700504
70,3040.0,608.0,912.0,608.0,912.0,8,20.46,20.46,20.46,15.5876038441,0.51411276993,10.0180394466,7.26038244144,0.103868132209,11.2284938981,11.6249632518
