cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
80,6080.0,1216.0,1824.0,1216.0,1824.0,9,23.43,23.43,23.43,108.76253796,2.69542871373,75.7767633424,34.6040695905,0.495051067103,46.7026707383,95.1076758579
80,6080.0,1216.0,1824.0,1216.0,1824.0,9,38.34,28.4,4.26,132.334000135,2.38200012787,105.207076416,26.334558707,0.376746190373,128.080764085,81.1830677929
80,6080.0,608.0,1216.0,608.0,3648.0,9,23.43,23.43,23.43,57.3236239252,1.61632174096,38.0258798705,19.7307825177,0.282271566777,40.6729462564,46.1956132029
80,6080.0,608.0,1216.0,608.0,3648.0,9,51.12,14.2,5.68,142.464758797,2.94934723585,110.737124384,25.4994868285,0.364799525444,109.743970806,75.4904789229
90,6080.0,1520.0,1520.0,1520.0,1520.0,9,26.73,26.73,26.73,65.5787677329,1.48670804467,47.489911836,25.5103237693,0.364954560362,31.1219906386,68.3557124238
90,6080.0,1520.0,1520.0,1520.0,1520.0,9,36.45,40.5,4.05,127.763397267,2.20565776206,103.38642384,26.9785322698,0.385958973817,141.551616678,84.9023121164
90,6080.0,608.0,2432.0,608.0,2432.0,9,26.73,26.73,26.73,97.7773864897,2.54380305263,67.8562119946,28.131137368,0.402448317138,62.3285615925,72.6002286102
90,6080.0,608.0,2432.0,608.0,2432.0,9,58.32,16.2,6.48,144.107933121,3.16492574241,109.851219884,26.9524939859,0.385586466178,109.094511042,78.7884948732
90,6080.0,1216.0,1824.0,1216.0,1824.0,9,26.73,26.73,26.73,109.865417183,2.66884490649,77.7121366033,34.3847247528,0.491913086592,53.0810913632,94.5273633529
90,6080.0,1216.0,1824.0,1216.0,1824.0,9,43.74,32.4,4.86,126.277534244,2.36565674252,99.4677054209,25.8256515182,0.369465686956,122.515070152,81.5883123387
90,6080.0,608.0,1216.0,608.0,3648.0,9,26.73,26.73,26.73,62.6246107659,1.60068702861,43.309136513,19.3558148387,0.276907222299,38.2122473667,46.9553287916
90,6080.0,608.0,1216.0,608.0,3648.0,9,58.32,16.2,6.48,127.612416488,2.63734244568,97.7059845221,26.5884682793,0.380378659217,103.434766535,73.3415964261
100,6080.0,1520.0,1520.0,1520.0,1520.0,9,30.03,30.03,30.03,76.6101763442,1.74952500196,54.4337293473,29.8731470456,0.427369771754,31.8878634553,80.630236508
100,6080.0,1520.0,1520.0,1520.0,1520.0,9,40.95,45.5,4.55,135.518129639,2.17346281114,112.072113724,26.2724619369,0.375857824562,154.526311519,85.1563631692
100,6080.0,608.0,2432.0,608.0,2432.0,9,30.03,30.03,30.03,98.0967020416,2.44643550615,69.215774251,28.5338988043,0.408210283324,69.5704562657,72.4883494182
100,6080.0,608.0,2432.0,608.0,2432.0,9,65.52,18.2,7.28,147.487462431,2.91118819986,115.13829413,27.142132888,0.38829946907,104.149608994,78.7277022822
100,6080.0,1216.0,1824.0,1216.0,1824.0,9,30.03,30.03,30.03,107.565508812,2.48376608337,76.7837547336,33.3540224224,0.477167702753,55.4813113317,90.1220154618
100,6080.0,1216.0,1824.0,1216.0,1824.0,9,49.14,36.4,5.46,140.405642455,2.44405309569,112.933677744,25.7306687967,0.368106849738,142.57796435,81.9378607416
100,6080.0,608.0,1216.0,608.0,3648.0,9,30.03,30.03,30.03,58.7770300045,1.47134059307,40.5648523783,19.9465473222,0.28535833079,42.1493381406,48.5157872383
100,6080.0,608.0,1216.0,608.0,3648.0,9,65.52,18.2,7.28,127.27858534,2.61489654921,98.2332289107,25.2281604039,0.360917888468,102.702084413,73.6592538169
