cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
95,2520.0,252.0,252.0,1008.0,1008.0,4,32.5,32.5,32.5,32.5,75.7883139766,1.66271460585,60.274577242,12.2349761115,0.175035423626,47.4587055954,36.6745654964
95,2520.0,252.0,252.0,1008.0,1008.0,4,13.0,13.0,52.0,52.0,110.505921181,1.90411652477,94.3309294143,21.0249556986,0.300786204558,64.6074498414,41.4014624029
95,2520.0,252.0,252.0,252.0,1764.0,4,32.5,32.5,32.5,32.5,47.3200215,0.971169993178,37.8517167631,7.86347802963,0.112496109151,40.07432757,20.9509234217
95,2520.0,252.0,252.0,252.0,1764.0,4,13.0,13.0,13.0,91.0,88.1692158924,1.36000762276,76.7153750875,16.3197621723,0.233472992451,70.9623250195,28.7459022724
95,2520.0,504.0,504.0,1260.0,252.0,4,32.5,32.5,32.5,32.5,60.2518545622,1.24194314622,48.3441723415,11.1630105692,0.15969972202,47.292562246,34.0570463524
95,2520.0,504.0,504.0,1260.0,252.0,4,26.0,26.0,65.0,13.0,83.0051761215,1.5776561059,68.1075504368,14.1915694649,0.203026744848,67.1456691511,42.7004704588
100,2520.0,630.0,630.0,630.0,630.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,62.7531733176,1.27912165785,50.4258420111,15.1909264815,0.217323697876,43.5697750825,41.9246246094
100,2520.0,630.0,630.0,630.0,630.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,54.9842591736,1.13111674357,43.9826916878,13.9019147652,0.198882900789,39.1720136991,38.8759678544
100,2520.0,252.0,1008.0,252.0,1008.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,57.474452765,1.07689068317,47.0979984269,11.6786524165,0.167076572483,48.0816699038,33.1695503324
100,2520.0,252.0,1008.0,252.0,1008.0,4,13.7142857143,54.8571428571,13.7142857143,54.8571428571,50.6053948332,1.02144373831,40.440250236,11.9649480454,0.171172361164,42.9092266668,31.0552165221
100,2520.0,504.0,756.0,504.0,756.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,64.4393635066,1.3052590406,52.0451144328,14.7528995958,0.211057218824,39.8299543635,40.3738163272
100,2520.0,504.0,756.0,504.0,756.0,4,27.4285714286,41.1428571429,27.4285714286,41.1428571429,68.6228297484,1.42692150946,55.3809449347,15.5245364565,0.222096372768,52.8225915469,42.6682217469
100,2520.0,252.0,252.0,1008.0,1008.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,65.6239900895,1.35756061939,52.9814585684,12.3307625366,0.17640575875,46.2034149041,36.3132915797
100,2520.0,252.0,252.0,1008.0,1008.0,4,13.7142857143,13.7142857143,54.8571428571,54.8571428571,114.76279216,1.68240266995,100.188114033,22.5748594028,0.322959361985,68.9054759354,40.9293943109
100,2520.0,252.0,252.0,252.0,1764.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,49.7071647165,0.976589616563,40.6200524571,7.9861286631,0.114250767712,44.157018231,23.2202749224
100,2520.0,252.0,252.0,252.0,1764.0,4,13.7142857143,13.7142857143,13.7142857143,96.0,73.0709529564,1.13588938713,63.3211080642,14.8290816877,0.212147091383,54.5421686916,25.6322419635
100,2520.0,504.0,504.0,1260.0,252.0,4,34.2857142857,34.2857142857,34.2857142857,34.2857142857,58.443514116,1.19913612643,47.427984102,11.8801802026,0.169959659551,50.4613506668,35.6668507045
100,2520.0,504.0,504.0,1260.0,252.0,4,27.4285714286,27.4285714286,68.5714285714,13.7142857143,78.67808853,1.40681536846,65.0245543314,14.1118878208,0.201886807165,72.0194170976,41.8271491008
105,2520.0,630.0,630.0,630.0,630.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,60.6519531549,1.24657080004,48.6633521145,14.5829927673,0.20862650597,41.9990858633,44.594967498
105,2520.0,630.0,630.0,630.0,630.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,55.0112429709,1.19028848905,43.4992650975,13.4418476418,0.192301110755,36.7430442498,37.808946083
105,2520.0,252.0,1008.0,252.0,1008.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,58.3011524921,1.01480097197,48.3416649018,11.7252511621,0.167743221203,50.9108534362,33.0863510139
105,2520.0,252.0,1008.0,252.0,1008.0,4,14.4285714286,57.7142857143,14.4285714286,57.7142857143,61.0420097932,1.22149373736,49.6706242243,12.4984591469,0.178804851886,51.6680177708,35.9629447307
105,2520.0,504.0,756.0,504.0,756.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,58.9051366356,1.15042096595,47.5870623942,13.3245577463,0.190623143724,40.9478133765,39.4893597935
105,2520.0,504.0,756.0,504.0,756.0,4,28.8571428571,43.2857142857,28.8571428571,43.2857142857,65.9319593838,1.3535612121,53.0390916261,15.0132028423,0.214781156542,49.0246574174,43.476504972
105,2520.0,252.0,252.0,1008.0,1008.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,71.9264349956,1.43097610723,58.4523492889,12.7133662237,0.181879345118,47.0374325032,37.126789801
105,2520.0,252.0,252.0,1008.0,1008.0,4,14.4285714286,14.4285714286,57.7142857143,57.7142857143,103.943700579,1.54697640532,90.3321443333,20.3656236185,0.291353699836,73.3679093437,40.5680830663
105,2520.0,252.0,252.0,252.0,1764.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,51.0165745042,0.991495733264,41.6985008582,8.83051621778,0.126330704117,43.6111698803,23.6989189928
105,2520.0,252.0,252.0,252.0,1764.0,4,14.4285714286,14.4285714286,14.4285714286,101.0,65.0423502288,1.03162665629,55.6161925039,14.7467332956,0.210969002799,48.4020905123,27.0786204446
105,2520.0,504.0,504.0,1260.0,252.0,4,36.0714285714,36.0714285714,36.0714285714,36.0714285714,62.0371984688,1.21986359616,50.2907066893,12.021526488,0.171981780945,47.6414605368,35.7444772966
105,2520.0,504.0,504.0,1260.0,252.0,4,28.8571428571,28.8571428571,72.1428571429,14.4285714286,85.1697294816,1.55078857116,70.1549375089,15.3106657053,0.219036705369,71.7463119462,44.0143184599
110,2520.0,630.0,630.0,630.0,630.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,82.7805529334,1.61015264318,67.9899815939,16.5958934175,0.237423367918,62.2530425585,48.8499474456
110,2520.0,630.0,630.0,630.0,630.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,69.1188088291,1.36689270689,55.8424487046,15.8781268826,0.227154891024,50.3902858801,45.2135155341
110,2520.0,252.0,1008.0,252.0,1008.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,55.2381067741,0.94211187955,45.845074187,11.3131320846,0.161847383185,52.6507050607,32.7592686647
110,2520.0,252.0,1008.0,252.0,1008.0,4,15.1428571429,60.5714285714,15.1428571429,60.5714285714,64.8889384354,1.19591438495,52.784436669,12.7714380116,0.182710128921,50.6742561259,37.2998677827
110,2520.0,504.0,756.0,504.0,756.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,68.8105491667,1.41289911913,55.647906197,15.9888060586,0.2287382841,48.508508241,43.8388204415
110,2520.0,504.0,756.0,504.0,756.0,4,30.2857142857,45.4285714286,30.2857142857,45.4285714286,82.2805729088,1.47851902994,67.933301287,16.604989895,0.237553503505,59.8690280096,50.7913466319
110,2520.0,252.0,252.0,1008.0,1008.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,69.1591986066,1.40012664121,55.9989845449,12.1882438254,0.174366864455,49.3041302111,36.3813021169
110,2520.0,252.0,252.0,1008.0,1008.0,4,15.1428571429,15.1428571429,60.5714285714,60.5714285714,104.475647691,1.55352120009,90.7539125156,20.4731490181,0.292891974507,74.4501152505,42.3900671084
110,2520.0,252.0,252.0,252.0,1764.0,4,37.8571428571,37.8571428571,37.8571428571,37.8571428571,52.1023360886,0.920591783722,42.9953429591,8.07846612861,0.115571761497,55.2665118832,23.2163725486
110,2520.0,252.0,252.0,252.0,1764.0,4,15.1428571429,15.1428571429,15.1428571429,106.0,75.1228853878,1.06801582052,65.4859867044,15.4687606087,0.221298435031,58.483707618,29.7749587982
