cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
145,1980.0,198.0,198.0,198.0,1386.0,12,13.3,13.3,13.3,93.1,77.2002636573,1.14560413795,67.1939742077,12.951594412,0.185287473705,60.7634565572,24.0746605162
145,1980.0,396.0,396.0,990.0,198.0,12,33.25,33.25,33.25,33.25,57.5404063553,1.14105311189,46.9382407337,10.2423619095,0.146528782683,49.1210357472,28.2679815005
145,1980.0,396.0,396.0,990.0,198.0,12,26.6,26.6,66.5,13.3,69.6526936103,1.2870440952,57.6153485356,12.6906661372,0.181554594237,54.0996403999,31.762421178
150,1980.0,495.0,495.0,495.0,495.0,12,34.5,34.5,34.5,34.5,46.8636973937,0.942867590677,38.0672495313,11.1467131844,0.159466569161,37.6372737817,28.6646288291
150,1980.0,495.0,495.0,495.0,495.0,12,34.5,34.5,34.5,34.5,45.7448638744,0.902735427357,37.2943886552,10.5128942919,0.150399059969,37.1661813353,27.5515992822
150,1980.0,198.0,792.0,198.0,792.0,12,34.5,34.5,34.5,34.5,54.0833279411,0.983045439435,44.6239305909,11.4334973347,0.163569346706,49.6697956969,30.7602654025
150,1980.0,198.0,792.0,198.0,792.0,12,13.8,55.2,13.8,55.2,61.8354125208,1.1497752476,51.4780383758,10.8940484525,0.155851909192,55.9426392648,29.3106768104
150,1980.0,396.0,594.0,396.0,594.0,12,34.5,34.5,34.5,34.5,49.3104015269,0.95713663277,40.5595106737,10.9769702068,0.157038200383,38.4664998136,28.1942440433
150,1980.0,396.0,594.0,396.0,594.0,12,27.6,41.4,27.6,41.4,53.2586777801,1.10850755893,43.4995624201,11.872555697,0.169850582217,43.6878511759,31.7605275772
150,1980.0,198.0,198.0,792.0,792.0,12,34.5,34.5,34.5,34.5,72.4988590126,1.42534025546,58.6253784798,11.6868536335,0.167193900337,50.9303568044,34.3896726288
150,1980.0,198.0,198.0,792.0,792.0,12,13.8,13.8,55.2,55.2,123.091541148,1.86953527623,107.66572832,16.4499925187,0.235336087535,76.3402668571,39.0589487088
150,1980.0,198.0,198.0,198.0,1386.0,12,34.5,34.5,34.5,34.5,52.20978737,1.00321735877,43.2108805741,7.59179199196,0.108609327496,47.8187628946,20.3528833542
150,1980.0,198.0,198.0,198.0,1386.0,12,13.8,13.8,13.8,96.6,73.9812732335,1.11721581989,64.2854087815,11.8104013539,0.16896139276,53.8402233451,23.4189477608
150,1980.0,396.0,396.0,990.0,198.0,12,34.5,34.5,34.5,34.5,60.1724417516,1.15549674684,49.3497662522,10.6732558098,0.152693216162,57.4867892016,29.2391572912
150,1980.0,396.0,396.0,990.0,198.0,12,27.6,27.6,69.0,13.8,81.2914787617,1.53493890369,66.9769700002,12.8411848458,0.183707937708,62.5947984913,33.6316383605
50,1980.0,495.0,495.0,495.0,495.0,16,8.5,8.5,8.5,8.5,20.5099770069,0.874868916394,12.2293004991,4.90829599032,0.0702188267571,11.2347759755,8.05729627805
50,1980.0,495.0,495.0,495.0,495.0,16,8.5,8.5,8.5,8.5,17.4595197009,0.723920260774,10.165224842,4.59268999984,0.0657037195971,9.73135228118,7.05970356379
50,1980.0,198.0,792.0,198.0,792.0,16,8.5,8.5,8.5,8.5,25.7824872449,1.03884219444,15.6730878202,7.37596976405,0.105521741975,20.3987759966,16.3890457588
50,1980.0,198.0,792.0,198.0,792.0,16,3.4,13.6,3.4,13.6,18.1434052501,0.768939729314,10.377371857,4.85112177101,0.0694008837054,9.33783785894,7.56625875004
