cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
50,5320.0,532.0,1064.0,532.0,3192.0,8,23.52,8.4,10.08,56.5248095627,1.93647558066,34.0938664933,19.2724676295,0.275714844486,33.2969287073,41.1120084107
60,5320.0,1330.0,1330.0,1330.0,1330.0,8,17.16,17.16,17.16,49.3265763413,1.48170424827,30.9506976062,22.8065468728,0.326273918066,23.8007365213,52.9644668568
60,5320.0,1330.0,1330.0,1330.0,1330.0,8,18.2,26.0,7.8,90.2554759215,2.23646634913,65.6236357998,28.2752179869,0.404509556322,90.290643545,67.1691711398
60,5320.0,532.0,2128.0,532.0,2128.0,8,17.16,17.16,17.16,87.8155366385,2.82956911482,55.4410896185,30.199359707,0.432036619556,51.1375859703,69.6269419858
60,5320.0,532.0,2128.0,532.0,2128.0,8,29.12,10.4,12.48,94.7377893402,2.93132969431,59.2863904518,29.6006054855,0.423470750866,53.6709476865,69.0913353699
60,5320.0,1064.0,1596.0,1064.0,1596.0,8,17.16,17.16,17.16,49.6751949547,1.65162371495,30.1765118843,23.2667743074,0.332858001537,38.1072224769,47.7402838496
60,5320.0,1064.0,1596.0,1064.0,1596.0,8,21.84,20.8,9.36,84.2578983617,2.28844886565,58.2142001598,28.0265349004,0.400951858375,74.8519281997,65.0726464405
60,5320.0,532.0,1064.0,532.0,3192.0,8,17.16,17.16,17.16,56.8110152478,1.85409778452,35.7154543926,19.3852962977,0.277328988522,34.5316001823,41.3879832699
60,5320.0,532.0,1064.0,532.0,3192.0,8,29.12,10.4,12.48,58.8184568119,1.87335467632,36.7048521856,19.200430361,0.274684268398,36.609284254,42.4330465869
70,5320.0,1330.0,1330.0,1330.0,1330.0,8,20.46,20.46,20.46,40.9110432845,1.11723424994,26.4052147534,20.4631762915,0.292749303168,25.4379192212,48.2130984535
70,5320.0,1330.0,1330.0,1330.0,1330.0,8,21.7,31.0,9.3,80.4448174496,1.907796459,58.5896824662,27.0012909322,0.386284562692,82.5936794613,64.3411621483
70,5320.0,532.0,2128.0,532.0,2128.0,8,20.46,20.46,20.46,84.3354630104,2.61932685947,53.6074135086,30.0021867943,0.429215833967,55.6863926747,70.0223522972
70,5320.0,532.0,2128.0,532.0,2128.0,8,34.72,12.4,14.88,91.1749415903,2.5806577769,59.4852880458,28.093042075,0.401903320099,53.1848338711,68.7749733228
70,5320.0,1064.0,1596.0,1064.0,1596.0,8,20.46,20.46,20.46,59.2163095482,1.78468310858,37.1457356051,26.410255299,0.377829117296,35.8368226075,59.2146547976
70,5320.0,1064.0,1596.0,1064.0,1596.0,8,26.04,24.8,11.16,85.0052451567,2.20868614338,59.7727073344,28.4990706235,0.407712026088,72.6315289764,66.7402167044
70,5320.0,532.0,1064.0,532.0,3192.0,8,20.46,20.46,20.46,55.9699141262,1.7028092157,36.2849392166,19.2596163275,0.27553099181,38.388281784,42.1705122734
70,5320.0,532.0,1064.0,532.0,3192.0,8,34.72,12.4,14.88,58.7625594469,1.76406594944,37.502905643,19.1299211993,0.273675553638,35.9130176656,43.663811613
80,5320.0,1330.0,1330.0,1330.0,1330.0,8,23.76,23.76,23.76,46.0970248399,1.18372730706,31.0894176574,22.1599907864,0.317024188646,26.27986872,53.3583094374
80,5320.0,1330.0,1330.0,1330.0,1330.0,8,25.2,36.0,10.8,75.7062867753,1.81009409792,54.512144773,26.1882378676,0.374652902255,79.0960008799,64.276341706
80,5320.0,532.0,2128.0,532.0,2128.0,8,23.76,23.76,23.76,88.8054353558,2.51968449267,58.3970582416,29.6423088977,0.424067366205,60.4920463548,70.7368181836
80,5320.0,532.0,2128.0,532.0,2128.0,8,40.32,14.4,17.28,100.17622228,2.81688772735,65.7545509211,30.3945207816,0.434828623485,54.4302500456,70.1447081303
80,5320.0,1064.0,1596.0,1064.0,1596.0,8,23.76,23.76,23.76,56.8392724209,1.62927447564,36.6281608236,25.6311200731,0.366682690602,28.535334778,57.2576209728
80,5320.0,1064.0,1596.0,1064.0,1596.0,8,30.24,28.8,12.96,88.6967645304,2.13527414365,63.2912245732,27.8599689518,0.398568940655,72.2455714089,71.6280007422
80,5320.0,532.0,1064.0,532.0,3192.0,8,23.76,23.76,23.76,55.4606297861,1.63550932292,35.9180744092,19.760752447,0.28270032113,38.3382079138,42.9955892658
80,5320.0,532.0,1064.0,532.0,3192.0,8,40.32,14.4,17.28,59.1202437199,1.68615639437,37.9618065662,18.9148277843,0.270598394625,36.7484413059,44.7509754072
90,5320.0,1330.0,1330.0,1330.0,1330.0,8,27.06,27.06,27.06,49.8789562188,1.1184113314,35.3084835575,21.137256257,0.302392793377,26.5464689849,52.9532397807
90,5320.0,1330.0,1330.0,1330.0,1330.0,8,28.7,41.0,12.3,76.3449736118,1.74807664373,55.1701832812,26.6256188337,0.380910140682,74.5602882401,67.2123260216
90,5320.0,532.0,2128.0,532.0,2128.0,8,27.06,27.06,27.06,91.3244865372,2.48965193288,60.8632499391,29.1946069351,0.417662474036,56.0203156014,71.3091818229
90,5320.0,532.0,2128.0,532.0,2128.0,8,45.92,16.4,19.68,99.0880091275,2.69289460349,65.7467596837,28.8435991254,0.412640903082,54.5803172775,72.3910468891
90,5320.0,1064.0,1596.0,1064.0,1596.0,8,27.06,27.06,27.06,64.8813820587,1.73190083749,43.7795001422,26.8801663126,0.384551735516,32.1247257031,62.7455685241
90,5320.0,1064.0,1596.0,1064.0,1596.0,8,34.44,32.8,14.76,84.2560850116,2.12460627325,58.832742263,28.3787053788,0.405990062643,68.938089135,69.94295558
90,5320.0,532.0,1064.0,532.0,3192.0,8,27.06,27.06,27.06,64.0930133839,1.65187633834,44.7412393868,19.1904029462,0.27454081468,42.4084539408,45.4880982947
90,5320.0,532.0,1064.0,532.0,3192.0,8,45.92,16.4,19.68,60.7286884889,1.577828198,41.3865214855,18.591123289,0.265967429027,39.635102174,45.7364200639
100,5320.0,1330.0,1330.0,1330.0,1330.0,8,30.36,30.36,30.36,48.3052667988,1.05122006617,34.10028006,21.3285233035,0.305129088748,28.6530461549,54.2711166345
100,5320.0,1330.0,1330.0,1330.0,1330.0,8,32.2,46.0,13.8,76.5920306535,1.7827208363,56.0933241591,26.9956653265,0.386204081924,76.7030691633,67.9790499722
100,5320.0,532.0,2128.0,532.0,2128.0,8,30.36,30.36,30.36,91.1149888359,2.35103812796,62.4255803104,27.8835087263,0.398905704238,62.8505928362,71.8144039972
100,5320.0,532.0,2128.0,532.0,2128.0,8,51.52,18.4,22.08,101.182945176,2.58457843652,68.8591742081,29.0857792869,0.416105569198,58.2886701167,72.6990086231
100,5320.0,1064.0,1596.0,1064.0,1596.0,8,30.36,30.36,30.36,95.444975683,2.41360371026,64.9568127815,33.9697068373,0.485975777357,49.547185198,83.8775382583
100,5320.0,1064.0,1596.0,1064.0,1596.0,8,38.64,36.8,16.56,88.0112770328,2.13649481156,62.3932423049,29.1238281259,0.416649901657,71.1305319416,73.1222613357
100,5320.0,532.0,1064.0,532.0,3192.0,8,30.36,30.36,30.36,57.5721671088,1.46271219818,39.9772073506,18.8230664254,0.269285642709,42.0944280411,45.3152150348
100,5320.0,532.0,1064.0,532.0,3192.0,8,51.52,18.4,22.08,61.6467413407,1.5901221338,42.4958784532,18.9955319369,0.27175296047,45.31793828,47.0480048757
110,5320.0,1330.0,1330.0,1330.0,1330.0,8,33.66,33.66,33.66,69.1877638987,1.55225762874,48.7851930469,27.7052910982,0.396356095826,28.318328023,71.9458092413
110,5320.0,1330.0,1330.0,1330.0,1330.0,8,35.7,51.0,15.3,72.3957053726,1.64726667298,52.9166335914,25.7351649767,0.368171172771,73.9803946761,65.6562123396
110,5320.0,532.0,2128.0,532.0,2128.0,8,33.66,33.66,33.66,88.9687555681,2.27103014696,60.4235621881,28.8165864966,0.412254456318,61.9661323296,72.3964070608
110,5320.0,532.0,2128.0,532.0,2128.0,8,57.12,20.4,24.48,106.919376586,2.54631329952,75.0674588832,28.8188210228,0.412286423788,65.4118950857,74.5353184132
110,5320.0,1064.0,1596.0,1064.0,1596.0,8,33.66,33.66,33.66,103.751235325,2.55890455913,73.1352679438,33.3960628336,0.47776913925,61.5297031476,84.223864222
110,5320.0,1064.0,1596.0,1064.0,1596.0,8,42.84,40.8,18.36,90.7412053958,2.17259287019,64.9182752074,29.4056211891,0.420681275952,70.7524332054,75.064290544
110,5320.0,532.0,1064.0,532.0,3192.0,8,33.66,33.66,33.66,61.5004521412,1.51579439799,43.251836902,19.5091440511,0.279100773264,48.8087525073,47.3185157775
110,5320.0,532.0,1064.0,532.0,3192.0,8,57.12,20.4,24.48,59.8964815383,1.44544008246,41.8453306138,19.0858970774,0.273045737874,39.9584281079,47.912317516
120,5320.0,1330.0,1330.0,1330.0,1330.0,8,36.96,36.96,36.96,51.7108598462,1.06270451958,37.5430516152,21.8632400367,0.31277882742,29.6009341726,57.7379400964
120,5320.0,1330.0,1330.0,1330.0,1330.0,8,39.2,56.0,16.8,77.5617602204,1.61165719491,58.4621682725,26.6119473017,0.380714553673,77.9623330204,68.6128728464
120,5320.0,532.0,2128.0,532.0,2128.0,8,36.96,36.96,36.96,92.2246608273,2.27940321905,63.7033310995,27.7731358957,0.397326693787,64.0452765602,72.7766581538
120,5320.0,532.0,2128.0,532.0,2128.0,8,62.72,22.4,26.88,110.691767721,2.64791433083,78.3640558713,29.9790857246,0.428885346561,67.6602981829,75.6568067654
120,5320.0,1064.0,1596.0,1064.0,1596.0,8,36.96,36.96,36.96,92.8222007295,2.2964395816,64.691198292,32.9128766113,0.470856603881,52.8747058812,81.359648265
120,5320.0,1064.0,1596.0,1064.0,1596.0,8,47.04,44.8,20.16,92.9928236635,2.01494249389,68.8435169663,28.9951095638,0.414808434389,73.7730659932,75.5773231416
120,5320.0,532.0,1064.0,532.0,3192.0,8,36.96,36.96,36.96,63.0166966594,1.53472854951,44.4934570846,19.6855046736,0.281623815073,49.4299306039,47.9870103837
120,5320.0,532.0,1064.0,532.0,3192.0,8,62.72,22.4,26.88,64.1778297136,1.58396150973,45.3833485055,19.3726766304,0.277148449648,46.1243967469,49.9118394327
130,5320.0,1330.0,1330.0,1330.0,1330.0,8,40.26,40.26,40.26,75.5863726068,1.53602567443,54.952643517,28.5055753559,0.407805083775,38.8464593476,76.8213908242
130,5320.0,1330.0,1330.0,1330.0,1330.0,8,42.7,61.0,18.3,80.8088036321,1.63607691131,60.6219044053,27.2284109247,0.389533775747,81.7624697708,72.3187847486
130,5320.0,532.0,2128.0,532.0,2128.0,8,40.26,40.26,40.26,96.5039417671,2.30240364154,68.4898279345,29.3304443846,0.419605785187,67.8062757266,74.5098922388
130,5320.0,532.0,2128.0,532.0,2128.0,8,68.32,24.4,29.28,111.842648559,2.63634407584,79.6856143162,29.3567907149,0.419982699784,62.4109331769,76.3579071679
130,5320.0,1064.0,1596.0,1064.0,1596.0,8,40.26,40.26,40.26,95.0747331372,2.20901897523,67.5459925915,31.6161701199,0.452305724176,58.9365800567,81.567337209
130,5320.0,1064.0,1596.0,1064.0,1596.0,8,51.24,48.8,21.96,95.4767426866,1.95531356474,70.8814443839,29.5018012988,0.422057243187,75.7666058892,79.1822209166
130,5320.0,532.0,1064.0,532.0,3192.0,8,40.26,40.26,40.26,61.8052207574,1.4435694657,43.9666265795,20.0070102636,0.286223322798,46.4252362484,50.0488796341
130,5320.0,532.0,1064.0,532.0,3192.0,8,68.32,24.4,29.28,65.3262876619,1.41439167799,47.8373582302,18.8131744028,0.269144125935,47.6864477459,50.2334468217
140,5320.0,1330.0,1330.0,1330.0,1330.0,8,43.56,43.56,43.56,58.7626047896,1.1427421023,43.3653254487,24.6082825427,0.352049821784,34.2228873923,65.4264076783
140,5320.0,1330.0,1330.0,1330.0,1330.0,8,46.2,66.0,19.8,80.2725467668,1.49876913719,61.6700952741,26.0995749471,0.373384477069,79.3455068763,70.862885944
