cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
170,6080.0,1520.0,1520.0,1520.0,1520.0,8,53.46,53.46,53.46,124.432251592,2.28851192107,93.685958537,37.7811203612,0.540502437214,66.2132788677,99.0846498509
170,6080.0,1520.0,1520.0,1520.0,1520.0,8,48.6,81.0,32.4,103.490201952,1.87404992364,78.3521017318,33.1457767396,0.474188508435,84.4922540522,87.6871545642
170,6080.0,608.0,2432.0,608.0,2432.0,8,53.46,53.46,53.46,106.174561905,2.1346245184,80.0130907492,30.435468001,0.435414420616,80.0738826473,77.8765553177
170,6080.0,608.0,2432.0,608.0,2432.0,8,77.76,32.4,51.84,130.765518095,2.66978671565,98.8371653927,35.6657064916,0.510239005602,76.2416139748,84.3082566797
170,6080.0,1216.0,1824.0,1216.0,1824.0,8,53.46,53.46,53.46,121.488504963,2.28233485531,92.7277408602,37.6029886748,0.537954058295,70.6928356674,94.8521110354
170,6080.0,1216.0,1824.0,1216.0,1824.0,8,58.32,64.8,38.88,106.52703596,2.02597216634,81.1242342295,33.285874788,0.476192772361,78.9040135352,86.0783172921
170,6080.0,608.0,1216.0,608.0,3648.0,8,53.46,53.46,53.46,107.229533464,2.09020782866,80.5379499423,30.079258795,0.430318437697,81.2465745199,76.0081045657
170,6080.0,608.0,1216.0,608.0,3648.0,8,77.76,32.4,51.84,73.0475097142,1.50363258189,54.997537754,24.4257402787,0.349438344474,52.9418903472,61.7163190541
180,6080.0,1520.0,1520.0,1520.0,1520.0,8,56.76,56.76,56.76,132.090198188,2.42300998488,101.787998528,38.8768649836,0.556178325945,77.035015786,99.816931553
180,6080.0,1520.0,1520.0,1520.0,1520.0,8,51.6,86.0,34.4,101.732740696,1.85951109397,77.2935324654,32.724529622,0.468162083291,87.0016859222,88.1783548818
180,6080.0,608.0,2432.0,608.0,2432.0,8,56.76,56.76,56.76,108.386660943,2.15956695445,81.6862650859,30.9089124965,0.442187589364,77.9728285536,79.0147261627
180,6080.0,608.0,2432.0,608.0,2432.0,8,82.56,34.4,55.04,136.377416239,2.50767145451,105.814715999,36.3943802165,0.52066352241,77.668654797,84.7322549677
180,6080.0,1216.0,1824.0,1216.0,1824.0,8,56.76,56.76,56.76,118.090539043,2.25625683026,88.6701577961,37.2006428071,0.532198037298,65.4146811178,97.013377275
180,6080.0,1216.0,1824.0,1216.0,1824.0,8,61.92,68.8,41.28,111.451858947,2.16645932041,84.0964664043,33.8473445585,0.484225244042,79.8313851268,89.464942415
180,6080.0,608.0,1216.0,608.0,3648.0,8,56.76,56.76,56.76,115.67201671,2.26744346957,88.6894590886,30.5050946948,0.436410510655,88.781084796,77.7811839031
180,6080.0,608.0,1216.0,608.0,3648.0,8,82.56,34.4,55.04,84.9534285095,1.70343309902,64.3601455681,26.4955000209,0.379048641214,65.0843401391,68.3985241328
190,6080.0,1520.0,1520.0,1520.0,1520.0,8,60.06,60.06,60.06,121.592496778,2.20577996382,92.3592029044,37.6984873126,0.539320276289,69.3152126353,98.9116784611
190,6080.0,1520.0,1520.0,1520.0,1520.0,8,54.6,91.0,36.4,105.382938622,1.75842603114,82.4459220446,31.7898043633,0.454789761993,99.7160724146,86.0872341788
190,6080.0,608.0,2432.0,608.0,2432.0,8,60.06,60.06,60.06,120.112797066,2.40084100954,91.8411532937,31.0025870855,0.443527712239,94.9094573766,80.2255152136
190,6080.0,608.0,2432.0,608.0,2432.0,8,87.36,36.4,58.24,133.717244164,2.54675198426,102.541759226,36.1443482566,0.517086527276,83.875817548,84.8386433538
190,6080.0,1216.0,1824.0,1216.0,1824.0,8,60.06,60.06,60.06,137.502766271,2.35944498067,107.712441842,38.4289615397,0.549770551354,86.8515397867,97.5602496543
190,6080.0,1216.0,1824.0,1216.0,1824.0,8,65.52,72.8,43.68,114.194980547,2.06529419562,87.7592290114,32.5711760501,0.465968183835,84.5802126663,88.9198531424
190,6080.0,608.0,1216.0,608.0,3648.0,8,60.06,60.06,60.06,90.53866387,1.68131021387,70.4698176132,27.7823010512,0.397457811892,72.8259557845,70.0948706587
190,6080.0,608.0,1216.0,608.0,3648.0,8,87.36,36.4,58.24,122.176987977,2.41844243907,92.1165615218,35.0533135119,0.501478018769,79.8095388044,81.593967237
40,6460.0,1615.0,1615.0,1615.0,1615.0,8,10.56,10.56,10.56,77.3024021801,3.04389013426,40.8231872341,40.7709272444,0.583275067874,29.724966905,88.3730029938
40,6460.0,1615.0,1615.0,1615.0,1615.0,8,9.6,16.0,6.4,88.6404675856,3.17166418007,51.7285734066,42.3378732825,0.605692035515,57.9514393494,88.0662887462
40,6460.0,646.0,2584.0,646.0,2584.0,8,10.56,10.56,10.56,79.5388668366,3.13473167928,43.5781717103,34.64228882,0.495597837196,48.6644955278,70.6331718235
40,6460.0,646.0,2584.0,646.0,2584.0,8,15.36,6.4,10.24,76.7619176609,3.10417770436,38.6670531721,35.2594787007,0.504427449224,36.3112975461,70.8357355745
40,6460.0,1292.0,1938.0,1292.0,1938.0,8,10.56,10.56,10.56,94.9079204426,3.76866121451,50.2501163324,47.1715725657,0.674843670468,32.2925716102,102.112724157
40,6460.0,1292.0,1938.0,1292.0,1938.0,8,11.52,12.8,7.68,80.8905556532,2.98055766976,47.1144681989,38.42404357,0.549700194135,52.0178415192,77.0786247236
40,6460.0,646.0,1292.0,646.0,3876.0,8,10.56,10.56,10.56,49.8025636481,1.99483264346,27.3587484412,22.6075664195,0.323427273527,30.9236685666,41.4563407328
40,6460.0,646.0,1292.0,646.0,3876.0,8,15.36,6.4,10.24,50.7473067185,2.09388536094,25.5238549784,23.1764858179,0.331566320714,22.5217699194,43.1246019815
50,6460.0,1615.0,1615.0,1615.0,1615.0,8,13.86,13.86,13.86,52.1801848486,1.8301801092,28.7929376099,30.0838655563,0.430384342722,22.7761991407,63.5880687643
50,6460.0,1615.0,1615.0,1615.0,1615.0,8,12.6,21.0,8.4,77.4212342353,2.44189285808,48.3171867162,36.2364597996,0.518404288979,59.25159888,76.6123045273
50,6460.0,646.0,2584.0,646.0,2584.0,8,13.86,13.86,13.86,84.0583150913,3.05433413449,49.2628715054,33.8656628856,0.484487308807,53.1186688628,71.2453311801
50,6460.0,646.0,2584.0,646.0,2584.0,8,20.16,8.4,13.44,78.1578028002,2.89558564325,42.8232757178,34.3164204816,0.49093591533,34.0211234925,72.5423462799
50,6460.0,1292.0,1938.0,1292.0,1938.0,8,13.86,13.86,13.86,95.7465518973,3.4394285481,54.3543570698,44.9066876766,0.642441883786,33.423348513,100.110081031
50,6460.0,1292.0,1938.0,1292.0,1938.0,8,15.12,16.8,10.08,86.1164800709,2.91754458155,51.4501183744,38.566641567,0.551740222704,50.6069441989,81.2529274748
50,6460.0,646.0,1292.0,646.0,3876.0,8,13.86,13.86,13.86,49.0394010292,1.85145622675,27.7046158135,22.143182675,0.316783729256,31.5102399334,41.8980376045
50,6460.0,646.0,1292.0,646.0,3876.0,8,20.16,8.4,13.44,50.8555510864,1.90333423205,28.2211151004,22.9522120785,0.328357826588,24.9660983772,44.0171500795
60,6460.0,1615.0,1615.0,1615.0,1615.0,8,17.16,17.16,17.16,96.7304182832,3.02480979706,59.4573237191,43.0948436206,0.616521367963,36.4708958413,99.5261941518
60,6460.0,1615.0,1615.0,1615.0,1615.0,8,15.6,26.0,10.4,90.6568398708,2.5971085287,59.2334943956,39.1502869092,0.560089941477,63.1155193935,87.6822752128
60,6460.0,646.0,2584.0,646.0,2584.0,8,17.16,17.16,17.16,80.3728346834,2.68490239309,48.451982975,33.263281657,0.475869551602,56.3335165581,71.2673909731
60,6460.0,646.0,2584.0,646.0,2584.0,8,24.96,10.4,16.64,81.4701316926,2.88993652393,45.7693391683,33.9489938228,0.485679453832,36.4434728056,73.0812068456
60,6460.0,1292.0,1938.0,1292.0,1938.0,8,17.16,17.16,17.16,100.949309694,3.23622446613,61.9767365616,43.7347023821,0.625675284436,39.8965536177,100.040784073
60,6460.0,1292.0,1938.0,1292.0,1938.0,8,18.72,20.8,12.48,90.0487556416,2.73258022267,57.7894922355,37.1886446387,0.532026389682,55.166959856,82.0572956383
60,6460.0,646.0,1292.0,646.0,3876.0,8,17.16,17.16,17.16,49.5149399795,1.61048109804,29.9724119751,21.5096724778,0.307720636306,37.7526896088,43.2442376769
60,6460.0,646.0,1292.0,646.0,3876.0,8,24.96,10.4,16.64,52.7358462875,1.87366418635,29.8634286541,22.4799150284,0.321601073367,25.9885943771,44.3665141198
70,6460.0,1615.0,1615.0,1615.0,1615.0,8,20.46,20.46,20.46,73.2003536973,2.07381746283,47.2018508367,33.8028605133,0.483588848544,26.2731786571,78.4261093709
70,6460.0,1615.0,1615.0,1615.0,1615.0,8,18.6,31.0,12.4,89.404109461,2.33103891725,61.0493150511,36.6527911414,0.524360388288,67.6014275266,83.7135943016
70,6460.0,646.0,2584.0,646.0,2584.0,8,20.46,20.46,20.46,89.8980806107,2.73999412342,57.6899586985,32.7122652,0.46798662661,57.1007912669,72.188053539
70,6460.0,646.0,2584.0,646.0,2584.0,8,29.76,12.4,19.84,83.0915818972,2.76767900215,48.7415143905,33.2003915777,0.47496983659,38.1428442392,73.6325755739
70,6460.0,1292.0,1938.0,1292.0,1938.0,8,20.46,20.46,20.46,97.6208469138,2.93895019494,62.3256212158,40.2004562694,0.575113823597,44.6451572875,91.2825805062
